HGNC	Module_Label
GNMT	M12
TEKT3	M12
BPIFB9P	M12
ATG14	M12
C14ORF149	M12
WDR60	M12
TAS2R4	M12
TAS2R5	M12
IDUA	M12
TMEM175	M12
TUBGCP6	M12
RFPL3	M12
CCRL1	M12
TEP1	M12
SHC2	M12
SLC27A1	M12
MED18	M12
ACAP3	M12
SNRPA1	M12
CC2D1A	M12
PNISR	M12
ZBED3	M12
INADL	M12
ZNF767	M12
ZFC3H1	M12
FKBP11	M12
ARGLU1	M12
CCDC64	M12
FBXL8	M12
IL11RA	M12
SPAG8	M12
SLTM	M12
DUOX1	M12
SLC15A4	M12
NPFF	M12
CSAD	M12
SLC38A6	M12
HERC2P2	M12
NEIL1	M12
MAN2C1	M12
RHOT2	M12
GAS8	M12
CNKSR1	M12
C1ORF162	M12
FAM63A	M12
ANXA9	M12
AC027612.6	M12
GABPB2	M12
LYG1	M12
AMT	M12
CCDC39	M12
DOK3	M12
CRIP3	M12
NOM1	M12
CCDC81	M12
C20ORF165	M12
C10ORF68	M12
PRSS53	M12
AC093838.4	M12
CC2D1B	M12
CCDC144B	M12
CCDC144C	M12
PROM2	M12
SLC25A28	M12
HYDIN	M12
RNF207	M12
MITD1	M12
ZNF276	M12
FGF17	M12
FAM160B2	M12
ARHGAP27	M12
STARD9	M12
RGL4	M12
DFFA	M12
ATAD3B	M12
ANKLE1	M12
ADAMTS13	M12
NEK8	M12
CRTC2	M12
NBEAL2	M12
STAG3L2	M12
FGFR4	M12
ZNF577	M12
SYCE2	M12
RP1-238O23.5	M12
C17ORF87	M12
CCDC78	M12
AMDHD2	M12
PPP1R32	M12
TPCN2	M12
SLC25A34	M12
TSSK3	M12
SCNN1D	M12
ANKRD23	M12
KIAA1407	M12
TTC14	M12
RNF168	M12
MFSD8	M12
C4ORF29	M12
LEAP2	M12
C8ORF84	M12
PHKG1	M12
MICALL2	M12
RP11-213G2.3	M12
METTL17	M12
METTL3	M12
SLC39A13	M12
KIAA1731	M12
NUDT13	M12
ZMYND17	M12
ZMAT1	M12
AC005726.6	M12
NFKBID	M12
TMC4	M12
LENG8	M12
ZNF83	M12
DNASE1L2	M12
TTC21A	M12
ANKS3	M12
COG7	M12
ZSWIM1	M12
JMJD7-PLA2G4B	M12
THBS3	M12
CA5B	M12
NPIPL3	M12
ZRSR2	M12
DUS1L	M12
RFNG	M12
NRG4	M12
KCNAB3	M12
STAT2	M12
ATF7	M12
ZNF692	M12
AGAP5	M12
CES4A	M12
ZNF621	M12
ADCK5	M12
AHSA2	M12
PLAC8L1	M12
MST1	M12
CCS	M12
C9ORF131	M12
RP11-1407O15.2	M12
AC073995.2	M12
GK5	M12
GOLGA8A	M12
TBC1D10C	M12
CCDC57	M12
ZNF404	M12
LRRC37A3	M12
MUC20	M12
NFATC2IP	M12
PDDC1	M12
SRRM3	M12
MAMDC4	M12
ALS2CL	M12
SH2B1	M12
VN1R1	M12
GPR35	M12
C15ORF17	M12
LINC00174	M12
TPPP2	M12
KIAA1875	M12
TMEM86B	M12
C8ORF42	M12
AC034193.5	M12
C7ORF53	M12
C10ORF31	M12
ZNF101	M12
RP11-69E11.4	M12
FAM153B	M12
LINC00085	M12
KCNJ14	M12
C16ORF79	M12
RRP7B	M12
NPIP	M12
RP11-958N24.1	M12
PI4KAP2	M12
SERHL2	M12
TRIM52	M12
RP11-82O18.1	M12
AC138969.4	M12
AL513013.1	M12
MUC6	M12
NRBP2	M12
GP1BA	M12
CDK10	M12
STAC3	M12
SDHAP1	M12
L3MBTL1	M12
C11ORF35	M12
WASH3P	M12
PDIA2	M12
RP11-645C24.1	M12
RNPC3	M12
SDHAP3	M12
PLK5	M12
CCDC84	M12
RP5-1182A14.3	M12
CEACAM19	M12
FSD2	M12
ESPN	M12
FNBP1	M12
EXD3	M12
MYO15B	M12
LINC00265	M12
C15ORF62	M12
NPIPP1	M12
NOXA1	M12
NHLRC3	M12
AC114772.1	M12
UBE2Q2P1	M12
AC015818.9	M12
SYCP2	M12
AC005154.6	M12
MAN2A2	M12
LINC00173	M12
PDXDC2P	M12
ANKRD36B	M12
AL133458.1	M12
MIR4763	M12
CCDC154	M12
CDC42SE1	M12
C9ORF174	M12
KEL	M12
ZNF335	M12
C1ORF228	M12
C20ORF203	M12
MDM4	M12
SNORD87	M12
SNORD47	M12
AL353898.2	M12
RP5-1113E3.3	M12
AL512652.1	M12
AC092811.1	M12
C6ORF164	M12
LIME1	M12
RP1-177G6.2	M12
RP11-492E3.1	M12
INPP5B	M12
AGAP6	M12
COL11A2	M12
AGER	M12
DFNB59	M12
DOM3Z	M12
LY6G6C	M12
LY6G5C	M12
ZNF814	M12
FAM27E2	M12
C8ORF73	M12
AC118344.1	M12
FAM71F2	M12
C4ORF47	M12
SAP25	M12
ATP6AP1L	M12
CPT1B	M12
CYP2D7P1	M12
RP11-1212A22.1	M12
TPTE2P6	M12
RFPL3-AS1	M12
KRTAP5-1	M12
CEMP1	M12
RP11-689P11.2	M12
CTA-373H7.7	M12
HERC2P9	M12
HCG27	M12
COLQ	M12
SNORA25	M12
SNORA67	M12
SNORA70	M12
AKR7L	M12
AP000346.2	M12
AL161915.1	M12
AC084018.1	M12
AL590762.11	M12
C1ORF220	M12
CRYGS	M12
ACCN3	M12
PVRIG	M12
SRA1	M12
RP11-797H7.3	M12
LAT	M12
C8ORF44	M12
GALT	M12
AP1G2	M12
TTLL3	M12
AC093726.6	M12
AC103810.1	M12
AC009053.1	M12
AC091132.2	M12
MEG3	M12
GS1-393G12.10	M12
SEPT7P2	M12
RP11-1212A22.2	M12
TBC1D26	M12
RP11-1023L17.1	M12
GOLGA8B	M12
PI4KAP1	M12
AC103810.2	M12
TNFRSF25	M12
SDHAP2	M12
CROCCP2	M12
AC009403.2	M12
ZGLP1	M12
CCNL2	M12
AC133919.6	M12
DCDC2B	M12
RP11-290P14.2	M12
RP11-66D17.5	M12
MTND5P28	M12
NSUN5P1	M12
AFG3L1P	M12
AC021593.2	M12
RP4-564F22.5	M12
RP11-719K4.1	M12
RP11-108L7.7	M12
RP11-441O15.3	M12
INE1	M12
RP11-291L22.3	M12
RP11-415J8.3	M12
RP11-409K20.8	M12
SLC26A6	M12
MIAT	M12
RP4-811H24.6	M12
AC002398.5	M12
AC074289.1	M12
RP4-798A10.2	M12
AC004383.3	M12
RP1-138B7.5	M12
RP11-419C5.2	M12
RP11-474D14.2	M12
RP11-523H24.3	M12
MRPL23-AS1	M12
RP11-31F15.1	M12
AC008746.11	M12
RP1-50O24.6	M12
AC004448.2	M12
ZNF717	M12
RP11-325P15.3	M12
AC092170.1	M12
RP4-669P10.19	M12
RP11-165J3.6	M12
DCUN1D2-AS1	M12
RP11-318C24.2	M12
RP11-439E19.3	M12
AC093495.4	M12
GUSBP11	M12
RP1-238O23.4	M12
RP11-325F22.3	M12
LMO7-AS1	M12
RAB11FIP1P1	M12
RP11-216L13.8	M12
AC011477.1	M12
C6ORF26	M12
AP000473.5	M12
AC133528.2	M12
AC111170.2	M12
AGBL5-IT1	M12
ANKRD10-IT1	M12
GS1-124K5.11	M12
RP11-506B15.6	M12
AC018633.4	M12
AC018638.1	M12
RP11-190J1.7	M12
GS1-124K5.2	M12
MIRLET7DHG	M12
GOLGA6L	M12
RP5-902P8.10	M12
U73166.2	M12
FTX	M12
AC159540.1	M12
HM13-AS1	M12
RP11-274B21.4	M12
AC127904.2	M12
RP11-767N6.7	M12
RP3-525N10.2	M12
RP11-109P14.10	M12
RP11-263K19.4	M12
GHRLOS2	M12
AC072052.7	M12
AC046143.5	M12
RP4-677H15.2	M12
AC135724.1	M12
CTD-3184A7.4	M12
AC140481.9	M12
LINC00342	M12
AC034220.3	M12
RP11-1212A22.4	M12
ERVH48-1	M12
AC107983.1	M12
RP4-742C19.8	M12
CTC-338M12.4	M12
AC116050.1	M12
MTND4P26	M12
AC005154.9	M12
AP000347.4	M12
AC006547.14	M12
AC007283.5	M12
CCT6P3	M12
LL22NC03-2H8.4	M12
RP11-395P17.3	M12
AC114730.7	M12
TEX21P	M12
PPP1R3E	M12
RP11-122K13.12	M12
CTB-161A2.4	M12
DPY19L2P4	M12
C6ORF26-AS1	M12
RP13-507I23.1	M12
DICER1-AS	M12
AP001468.1	M12
AC004448.5	M12
AC006262.1	M12
RP11-517P14.7	M12
RP11-501I18.2	M12
AC093415.5	M12
NONOP2	M12
RP3-430N8.8	M12
RP11-262H14.1	M12
RP11-46F15.2	M12
SNOU13	M12
SCARNA12	M12
RP11-245J9.2	M12
AC009120.3	M12
AC005696.1	M12
CA5B-AS1	M12
RP11-318E3.4	M12
GHRLOS	M12
ACAD11	M12
AC107983.6	M12
RP5-890O3.9	M12
RPL23AP64	M12
AC004985.12	M12
RP11-147I3.1	M12
RP11-379B18.5	M12
RP1-130H16.16	M12
RP11-323N12.1	M12
AC069513.3	M12
CTD-3099C6.4	M12
AC108488.4	M12
RP11-464F9.1	M12
CTB-161A2.3	M12
BMS1P4	M12
RP11-274B21.1	M12
RP11-1191J2.2	M12
RP11-506M12.1	M12
RP11-556N21.4	M12
EIF4EBP3	M12
AC000120.7	M12
RP11-274B21.2	M12
MCCC1-AS1	M12
RPL5P30	M12
RP11-274B21.3	M12
PLA2G4B	M12
RP11-368J21.2	M12
PPIEL	M12
AC007566.10	M12
ATP1B3-AS1	M12
RP11-323N12.2	M12
PKD1P1	M12
RP4-655L22.2	M12
AC005154.7	M12
RP4-800G7.2	M12
CTA-211A9.5	M12
RP5-894A10.2	M12
RP11-383J24.5	M12
AC092123.1	M12
RP3-330M21.5	M12
AL137798.2	M12
AC133552.1	M12
CTD-2339L15.1	M12
AC108134.3	M12
LINC00282	M12
RP11-113K21.5	M12
CTD-2172A10.1	M12
RP11-894P9.1	M12
RP11-1277A3.2	M12
AL512641.1	M12
UBAP1L	M12
AC010323.1	M12
AC090670.1	M12
AC005696.2	M12
RP11-727A23.5	M12
AC020928.2	M12
RP11-1277A3.1	M12
AC120114.3	M12
RRN3P2	M12
RP4-678E16.4	M12
CTB-129O4.1	M12
RP11-215P8.3	M12
RP3-412A9.10	M12
AC010789.1	M12
C1ORF213	M12
AC135050.2	M12
RP11-554A11.3	M12
AC107983.2	M12
RP11-814P23.1	M12
RP11-496H1.1	M12
PKD1P6	M12
RP11-1391J7.1	M12
AC090587.2	M12
CDK3	M12
CTC-564N23.2	M12
RP11-752G15.6	M12
RP11-478C6.6	M12
AC018755.1	M12
AC099668.5	M12
RPL32P3	M12
MALAT1	M12
ZNF346-IT1	M12
AC124890.1	M12
SCARNA13	M12
RP11-403C10.2	M12
RP11-531A24.5	M12
RP11-439C15.4	M12
SNORD87	M12
AC006160.8	M12
RP11-181B11.1	M12
RP11-110I1.11	M12
RP4-791M13.3	M12
RP11-23J9.7	M12
RP11-1212A22.3	M12
RP11-496I9.1	M12
RP11-318C2.5	M12
RP11-23J9.5	M12
STX16-NPEPL1	M12
RP11-23J9.4	M12
RP11-712L6.5	M12
RP11-110I1.12	M12
AP000442.1	M12
RP11-754B17.1	M12
RP11-106J23.2	M12
AP006621.5	M12
CTD-2530H12.4	M12
RP11-299M14.2	M12
EBLN2	M12
CTD-2530H12.8	M12
AP000640.8	M12
RP11-234B24.2	M12
RP11-113K21.4	M12
VTN	M12
RP11-566K11.1	M12
AL137798.3	M12
RP11-347I19.3	M12
AC091171.1	M12
RP11-904M10.1	M12
AP001877.1	M12
RP13-820C6.2	M12
RP11-1136G11.7	M12
RP11-579D7.2	M12
RP11-1136G11.8	M12
RP11-611E13.2	M12
RP11-977G19.5	M12
RP11-981P6.1	M12
RP11-84C10.4	M12
KCNQ1OT1	M12
RP11-203M5.7	M12
AC005519.4	M12
AL161668.5	M12
BCL2L2-PABPN1	M12
CTD-2002H8.2	M12
RP11-66N24.3	M12
RP11-195F19.29	M12
CTD-2555O16.2	M12
RP11-368P15.3	M12
RP11-3D4.2	M12
RP11-617F23.1	M12
RP11-468E2.5	M12
RP11-3D4.3	M12
RP11-762H8.2	M12
RP11-529H20.5	M12
AC068831.15	M12
RP11-120K9.2	M12
CTD-3110H11.1	M12
C1ORF201	M13
HSPB6	M13
ZMYND10	M13
SKAP2	M13
RHBDD2	M13
LAMP2	M13
TAC1	M13
CX3CL1	M13
USH1C	M13
DNAH9	M13
FMO3	M13
SYN1	M13
CAMK1G	M13
ADAM22	M13
PAX7	M13
CD9	M13
HHATL	M13
IDS	M13
EHD3	M13
MDH1	M13
CHDH	M13
CD74	M13
PLEKHB1	M13
NRXN3	M13
GABRA1	M13
GLRX2	M13
IFNGR1	M13
CYP46A1	M13
RAB27B	M13
GPM6B	M13
XK	M13
ROS1	M13
DKK3	M13
PTGER3	M13
MAPK9	M13
FSTL4	M13
MCF2L2	M13
PTPRN	M13
NPFFR2	M13
DGKG	M13
STYK1	M13
CREB3L3	M13
BRP44L	M13
GUCY1B3	M13
CA11	M13
HIPK2	M13
ERBB3	M13
ME1	M13
PPAP2A	M13
MEF2A	M13
TFE3	M13
ERLEC1	M13
PYGM	M13
KCNAB2	M13
GAL	M13
MAOB	M13
RORA	M13
PTPN3	M13
TESK2	M13
CAMK2A	M13
ARHGAP10	M13
TRHDE	M13
TMEM38A	M13
VDAC1P1	M13
SNCB	M13
IPCEF1	M13
WSCD2	M13
RAB7A	M13
TPD52	M13
RARB	M13
SPAG6	M13
EPB41L2	M13
RIMS1	M13
PTPRH	M13
COL5A3	M13
CDC14B	M13
CADPS2	M13
OXCT1	M13
APLP2	M13
SLCO1A2	M13
TTC39A	M13
AQP6	M13
EPDR1	M13
SNX10	M13
HSD17B14	M13
MT3	M13
PTHLH	M13
RP5-1187M17.10	M13
TESC	M13
RPH3A	M13
CHRD	M13
GNPTG	M13
RAPGEF4	M13
TF	M13
PITPNM3	M13
SLC22A17	M13
CAPN3	M13
EPB41L4B	M13
PTGS1	M13
TLL2	M13
CRTAC1	M13
BAMBI	M13
C19ORF77	M13
MAST3	M13
OCEL1	M13
SLC7A4	M13
SEC14L2	M13
PRODH	M13
SOX10	M13
RASD2	M13
CBX7	M13
SYNGR1	M13
PVALB	M13
CHADL	M13
CPNE6	M13
SGK2	M13
SPEF1	M13
PDYN	M13
SLC32A1	M13
CST3	M13
MYOM1	M13
STS	M13
CACNA1F	M13
SYP	M13
FGF14	M13
HTR2A	M13
NDFIP2	M13
C13ORF15	M13
PLLP	M13
NDRG4	M13
NECAB2	M13
SEC14L5	M13
RHBDL1	M13
NOMO1	M13
SYT17	M13
AQP9	M13
ACSBG1	M13
CTSH	M13
CA2	M13
NIPAL2	M13
TTC35	M13
UBXN8	M13
SLC17A7	M13
MYH14	M13
ICAM5	M13
SYNGR4	M13
PLA2G4C	M13
ARRDC2	M13
MAG	M13
TMEM59L	M13
HPN	M13
SCN1B	M13
ADAP1	M13
COBL	M13
NPTX2	M13
PRUNE2	M13
DNM1	M13
CDC37L1	M13
KANK1	M13
PIP5K1B	M13
PKD2L1	M13
SPOCK2	M13
LIPA	M13
LHPP	M13
DNAJC12	M13
04-Sep	M13
B9D1	M13
CNTNAP1	M13
DUSP3	M13
HLF	M13
PRKAR1A	M13
PMP22	M13
GABRA4	M13
MAPK10	M13
ZBTB16	M13
PPM1H	M13
SLC6A12	M13
KCNA1	M13
RASAL1	M13
RERGL	M13
COPS7A	M13
SNX3	M13
TFEB	M13
ENPP5	M13
PRSS16	M13
CDH9	M13
RASGRF2	M13
GABRG2	M13
FGF1	M13
VIPR1	M13
RTKN	M13
SLC30A3	M13
EFHD1	M13
SMYD1	M13
FHL2	M13
EPAS1	M13
MECR	M13
FBXO2	M13
HPCAL4	M13
PADI2	M13
RGS4	M13
KIF17	M13
CDK18	M13
B4GALT6	M13
CASC1	M13
LRMP	M13
ATP10B	M13
PPL	M13
GDA	M13
KLF9	M13
TJP2	M13
PPP4R4	M13
ALDH6A1	M13
GOT1	M13
LRP11	M13
C5ORF32	M13
HSPH1	M13
ARL1	M13
CLU	M13
PTK2B	M13
TNFSF10	M13
HPCA	M13
CD244	M13
ANXA11	M13
SRGN	M13
RNF11	M13
SSPN	M13
PDE1B	M13
PLP1	M13
TNFAIP6	M13
GPR83	M13
WDR69	M13
KCNS1	M13
SLC12A5	M13
SDC4	M13
ZNF831	M13
PACSIN1	M13
MOCS1	M13
C11ORF9	M13
CLYBL	M13
NAPB	M13
SBDS	M13
PRKCG	M13
HSPA2	M13
EVI2A	M13
OMG	M13
ATP13A4	M13
FBXL16	M13
TUBA4A	M13
RFPL2	M13
MCHR1	M13
APOL2	M13
KRT17	M13
VGF	M13
FAM40B	M13
CHN1	M13
GAD1	M13
ARHGAP22	M13
ARPP19	M13
KIF1C	M13
SULT4A1	M13
HABP4	M13
RGN	M13
COX4I2	M13
GFAP	M13
HIGD1B	M13
ATP6V1E1	M13
GALNTL2	M13
CKMT2	M13
EFR3A	M13
POPDC3	M13
XAF1	M13
HRSP12	M13
SNAP25	M13
SSTR4	M13
HAPLN2	M13
RP11-445H22.3	M13
RNF128	M13
MYH11	M13
IMPA1	M13
AMPD3	M13
MICAL2	M13
TMEM66	M13
PEBP4	M13
ARL8B	M13
ANO3	M13
CABLES1	M13
C12ORF39	M13
CYP2J2	M13
C7ORF23	M13
GLS2	M13
KIAA0748	M13
PPP1R1A	M13
FAIM2	M13
KCNH3	M13
MAP7	M13
EGR4	M13
RAB11FIP5	M13
CPM	M13
KCNK1	M13
WNT10A	M13
CYP27A1	M13
ARHGEF4	M13
ISCU	M13
ITM2B	M13
DGKB	M13
MMD2	M13
GAD2	M13
ENPP2	M13
SYTL2	M13
PAQR5	M13
ITPKA	M13
HADHB	M13
ANXA7	M13
ZNF365	M13
STAT4	M13
MDH1B	M13
ARHGAP24	M13
GABARAPL1	M13
VAMP1	M13
TPH2	M13
GALNT6	M13
METTL21C	M13
MBNL2	M13
HDC	M13
DNAJA4	M13
LMAN1L	M13
ABCC12	M13
TAF4B	M13
OSBPL1A	M13
TTYH2	M13
AC022098.1	M13
PPAP2C	M13
C1ORF222	M13
DCAF6	M13
MAEL	M13
RGS5	M13
FBLN7	M13
SCN1A	M13
UNC80	M13
CPNE9	M13
IQSEC1	M13
NCEH1	M13
AC062028.1	M13
STXBP5L	M13
EAF2	M13
GLRA3	M13
CRHBP	M13
ARHGAP26	M13
CXCL14	M13
GABRB2	M13
PCYOX1L	M13
GLRA1	M13
DAAM2	M13
TPBG	M13
GPR6	M13
VIP	M13
IGSF1	M13
STAR	M13
TACC1	M13
PMP2	M13
RSPO2	M13
MAL2	M13
C9ORF3	M13
GSN	M13
ALAD	M13
SH3GLB2	M13
NACC2	M13
C10ORF116	M13
PAMR1	M13
DRD2	M13
HTR3B	M13
SCN2B	M13
ALDOA	M13
CDH8	M13
N6AMT2	M13
ITPR1	M13
GPR158	M13
SLC2A13	M13
TDO2	M13
UHMK1	M13
GRIA4	M13
SPARCL1	M13
MEPE	M13
CCNO	M13
TCTEX1D1	M13
NRSN1	M13
SCOC	M13
PTPRR	M13
ADPRHL1	M13
GOLGA8IP	M13
AK5	M13
THY1	M13
NRGN	M13
C10ORF90	M13
ANKRD40	M13
ATP6V1C1	M13
GRAMD3	M13
GNA14	M13
RWDD2B	M13
C21ORF7	M13
TSPAN7	M13
FAM122B	M13
NPTN	M13
SST	M13
SYN2	M13
STEAP2	M13
HTR5A	M13
C1ORF158	M13
MUM1L1	M13
ACAN	M13
CABP1	M13
EXTL1	M13
C9ORF21	M13
ESYT3	M13
RHBDL2	M13
SHROOM4	M13
EPB49	M13
ADAMTS4	M13
SYNJ1	M13
CBR1	M13
C2ORF65	M13
TPPP3	M13
ZFYVE28	M13
RSPH1	M13
ICOSLG	M13
S100B	M13
HIPK4	M13
ST6GALNAC6	M13
ZBTB7B	M13
PAQR6	M13
CYGB	M13
GRASP	M13
CCDC64B	M13
GNG3	M13
RPS6KA4	M13
KNCN	M13
LRRC38	M13
DNAJB4	M13
GBP4	M13
FBXO41	M13
VSNL1	M13
NPPC	M13
GPR155	M13
AC017048.3	M13
ATP1A1	M13
LMOD1	M13
SYNPR	M13
CXCL5	M13
SCRG1	M13
TMEM155	M13
FAM198B	M13
ELOVL7	M13
08-Sep	M13
BMPER	M13
CHMP4C	M13
OXR1	M13
GPR146	M13
GPER	M13
DIRAS2	M13
DYNLT3	M13
ZNF488	M13
ZCCHC24	M13
HEPACAM	M13
GHITM	M13
HPRT1	M13
IFI27	M13
KCNC2	M13
HTRA1	M13
LIPC	M13
CMTM5	M13
GLB1L3	M13
TPP1	M13
NETO1	M13
IDH3A	M13
TMEM130	M13
PRKCB	M13
SLC38A8	M13
RRAD	M13
WDR16	M13
YPEL4	M13
LDHD	M13
TSC22D4	M13
MAP1A	M13
MEI1	M13
CA4	M13
RHEBL1	M13
PPP1R14A	M13
TRPV3	M13
KLK5	M13
KLK6	M13
SPRYD3	M13
BSCL2	M13
ENTPD3	M13
LMBRD1	M13
CMAHP	M13
LGI3	M13
SFTPC	M13
PHYHIP	M13
CA7	M13
PPIP5K1	M13
HTR1E	M13
CPLX1	M13
MAP2K1	M13
KLK7	M13
C8ORF46	M13
PARM1	M13
RAB3B	M13
SH3TC2	M13
HSPB3	M13
KCNAB1	M13
CD52	M13
C15ORF27	M13
REPS2	M13
PYDC1	M13
MYRIP	M13
GPR37L1	M13
ADRA1B	M13
C5ORF4	M13
FRMPD2	M13
VSTM2A	M13
ACYP2	M13
SDR16C5	M13
PAQR8	M13
KCNG3	M13
KCND3	M13
CDK5R2	M13
RXFP1	M13
PRNP	M13
ADRA1D	M13
MIR31HG	M13
CYP4F11	M13
SCG2	M13
SYNPO	M13
ISG20	M13
RCAN2	M13
IL17D	M13
FNDC9	M13
RASGRP1	M13
ZMAT3	M13
THEMIS	M13
RAB37	M13
HPSE2	M13
SYT12	M13
SNCG	M13
OLR1	M13
CNP	M13
HAP1	M13
NET1	M13
C1QTNF1	M13
C1ORF88	M13
FAM174A	M13
C20ORF166-AS1	M13
ATP2A2	M13
MFSD4	M13
GOLT1A	M13
NPAS4	M13
UGT8	M13
B3GNT1	M13
P2RY14	M13
FAM131A	M13
NPPA	M13
APITD1	M13
NRIP3	M13
PCSK1	M13
PAAF1	M13
CREG2	M13
PRR18	M13
RIMS2	M13
PLA2G16	M13
GCNT4	M13
NAP1L5	M13
ST8SIA3	M13
SLC25A22	M13
KCNJ10	M13
AC074182.1	M13
C12ORF62	M13
P4HTM	M13
CCDC89	M13
TMEM125	M13
HLA-DQB1	M13
EGR3	M13
C13ORF30	M13
LYNX1	M13
KCTD4	M13
SERTM1	M13
CHRM4	M13
HIGD1A	M13
DDN	M13
SLC2A4	M13
ATP6AP2	M13
SYNM	M13
CACNB4	M13
CLEC4G	M13
SLC25A18	M13
TCEAL7	M13
PCP4	M13
ARHGEF37	M13
CHST6	M13
CTNNA3	M13
C10ORF107	M13
GRIN2A	M13
SSTR3	M13
ACSM5	M13
C22ORF25	M13
AIFM3	M13
KCTD8	M13
TUBA8	M13
TSPYL2	M13
PGP	M13
OLIG1	M13
SRPK3	M13
C21ORF128	M13
PABPC1L2B	M13
CEND1	M13
CXORF69	M13
CA13	M13
RP4-725G10.1	M13
METTL7A	M13
SV2B	M13
MORN5	M13
KCNIP4	M13
AGBL4	M13
O3FAR1	M13
MKL2	M13
GLDN	M13
NAP1L2	M13
C2ORF89	M13
TNFRSF18	M13
CCK	M13
GABRD	M13
UROS	M13
C1ORF192	M13
NDUFA4	M13
APOD	M13
FAM47E	M13
S100A13	M13
OR14I1	M13
GJB5	M13
FHIT	M13
SH2D5	M13
TMEM63A	M13
TPK1	M13
SPTSSB	M13
HLA-DQA1	M13
GM2A	M13
C2ORF55	M13
LINC00087	M13
ANXA6	M13
SLC6A17	M13
C1D	M13
MAP3K5	M13
OGDHL	M13
ADAMTSL2	M13
NKIRAS1	M13
S100A6	M13
VPS13A	M13
PCDH20	M13
SIRPA	M13
HLA-DRB5	M13
CCDC69	M13
RP5-857K21.11	M13
PLXNB3	M13
GRIN3A	M13
SHISA4	M13
RASGEF1A	M13
NOS1AP	M13
ANKRD43	M13
MFAP3L	M13
KIAA1279	M13
5S_RRNA	M13
AC009163.1	M13
CHIC1	M13
HLA-DRA	M13
PRRT1	M13
AC068538.2	M13
HLA-F	M13
ZNF204P	M13
VIT	M13
RP11-191L9.6	M13
OLIG2	M13
SLC48A1	M13
TRBC2	M13
RP5-933K21.2	M13
AC019178.2	M13
CPLX3	M13
VDAC1	M13
ATP6V1G2	M13
ALDOAP2	M13
VSTM5	M13
CPEB1	M13
RP5-1053E7.3	M13
HLA-F-AS1	M13
C6ORF35	M13
SEPW1P	M13
RP11-390P2.2	M13
LY86-AS1	M13
AC093726.4	M13
FXYD1	M13
NPTXR	M13
HEPN1	M13
LINC00473	M13
NEFHP1	M13
HLA-DQB1-AS1	M13
RP11-307B6.3	M13
ENTPD3-AS1	M13
RP11-197K6.1	M13
HLA-DPB1	M13
GS1-18A18.1	M13
AC010884.1	M13
TMEM233	M13
ATP6V1E1P1	M13
LINC00092	M13
HSPA7	M13
SIRPAP1	M13
HCG4P11	M13
RP1-111D6.2	M13
HAR1A	M13
RP4-813D12.3	M13
RP5-984P4.1	M13
AC079341.1	M13
RN28S1	M13
RP11-82H13.2	M13
AC109315.1	M13
RP5-848E13.3	M13
AC018647.3	M13
AP000282.2	M13
RP1-111D6.3	M13
RP11-106M7.1	M13
SEPT7P8	M13
RP11-255J3.3	M13
PIN1P1	M13
DYNLT3P2	M13
AC007128.1	M13
N4BP2L2-IT1	M13
HAR1B	M13
HLA-DPA1	M13
RP11-436F9.1	M13
RP1-232L24.3	M13
AC058791.2	M13
RP1-8B1.4	M13
AC067945.4	M13
AC006033.22	M13
AC008440.5	M13
DYNLT3P1	M13
RP11-154D6.1	M13
AC105053.4	M13
RP4-673D20.3	M13
C21ORF37	M13
RP11-397O8.4	M13
XX-CR54.3	M13
C17ORF108	M13
RP11-267N12.3	M13
RP5-1059M17.1	M13
RP13-614K11.1	M13
LINC00460	M13
RP11-80K21.1	M13
CTXN2	M13
RP11-364P22.1	M13
AC092431.1	M13
RP4-794H19.2	M13
RP11-254B13.3	M13
RP11-61I13.3	M13
ANKRD65	M13
AC010731.4	M13
RP11-342M3.5	M13
RP11-133O22.6	M13
RP11-383H13.1	M13
ANKRD34C	M13
RP3-467L1.4	M13
RP11-170N11.1	M13
AC117947.1	M13
RP4-742J24.2	M13
AC004019.13	M13
CYP46A4P	M13
SYP-AS1	M13
AP000361.2	M13
DGCR5	M13
AC011995.1	M13
RP1-192P9.1	M13
RP11-456A18.1	M13
GABARAPL3	M13
IFNWP19	M13
RPL23AP1	M13
AC034228.7	M13
RP11-796I2.2	M13
RP4-673D20.2	M13
UOX	M13
SNAPC5P1	M13
CORT	M13
AC114498.5	M13
HOGA1	M13
RP11-259P15.4	M13
ARHGDIG	M13
RP5-921G16.1	M13
RP11-280F2.2	M13
SOX2-OT	M13
ALDOAP1	M13
RP11-285F7.2	M13
GSTA1	M13
AC007009.1	M13
CCDC13	M13
RP11-436I9.2	M13
NEAT1	M13
BDNF-AS1	M13
RP11-656E20.4	M13
CTC-228N24.3	M13
RP11-13A1.1	M13
RP11-877E17.2	M13
RP11-702M1.1	M13
RP11-597D13.9	M13
RP11-321E2.3	M13
PCP4L1	M13
RP11-87E22.2	M13
HIGD1AP14	M13
FMN1	M13
ATP1B1P1	M13
RP11-267A15.1	M13
CTD-2023N9.3	M13
CTD-2193P3.2	M13
RP11-6E9.4	M13
RP11-814P5.1	M13
ALDH1L1-AS1	M13
CTC-338M12.5	M13
RP5-972B16.2	M13
RP11-226L15.4	M13
CHCHD10	M13
RP11-517I3.1	M13
RP5-1063M23.1	M13
AL355574.1	M13
APITD1-CORT	M13
RP11-442P12.1	M13
MAP2K1P1	M13
