HGNC	Module_Label
IL4R	-
USP33	-
PAK3	-
DCX	-
CAPZB	-
GPR137B	-
NAALAD2	-
PHF17	-
MAP2	-
PIAS2	-
AMPH	-
ARAF	-
MCCC1	-
ACER3	-
UBE2K	-
PIK3C3	-
N4BP2	-
C12ORF5	-
TULP3	-
SYNJ2	-
ADCY2	-
PMS2P1	-
RBFOX1	-
GNB1	-
EDN1	-
MLLT10	-
ADCYAP1R1	-
VDAC3	-
ITCH	-
PKD2L2	-
TP53INP2	-
SDF4	-
TP73	-
TOLLIP	-
UBE2D4	-
CLUL1	-
RUNX1T1	-
OSBPL6	-
MKNK1	-
REXO1	-
SAR1A	-
RAPGEF3	-
DUSP13	-
LIPE	-
FDFT1	-
PAFAH1B3	-
OPHN1	-
SCGN	-
LRRC16A	-
DDX1	-
DNM2	-
RABL2B	-
KEAP1	-
DCT	-
SLC35C2	-
EPHA6	-
RFX3	-
RIF1	-
RAB21	-
SMARCA2	-
MID2	-
KIAA0020	-
CHRNA3	-
KCNN2	-
PSEN1	-
CPOX	-
CLDND1	-
MOK	-
HSP90AA1	-
DLGAP4	-
IGSF9B	-
AP4E1	-
MAGI3	-
CXCL2	-
CDH7	-
PCNP	-
EXD2	-
MEF2C	-
CACNA1S	-
UBA5	-
LRP2	-
JMJD4	-
PCDHB4	-
PCDHGA2	-
HSPB11	-
PHLPP1	-
SMARCD3	-
STRADB	-
BZW1	-
C1QTNF3	-
ME2	-
FAM135A	-
COL19A1	-
EPB41L3	-
COBLL1	-
KCNK2	-
GEMIN5	-
NFE2L1	-
GSK3B	-
TRPM3	-
DOPEY1	-
BCKDHB	-
GRHL2	-
ITGAE	-
PDS5B	-
RRAGB	-
CYLD	-
SLC27A5	-
ZNF586	-
ZNF264	-
YTHDC1	-
PPIE	-
ZMPSTE24	-
REST	-
WBP11	-
NKAIN1	-
TXLNA	-
NCOA1	-
EFR3B	-
KIF3C	-
HADHA	-
TAF9	-
FCN1	-
SCAMP1	-
PREP	-
SEH1L	-
WDFY1	-
SLC25A24	-
MAP3K4	-
IGSF9	-
ABCB1	-
AKR1B1	-
CPNE3	-
CTTN	-
WNT11	-
MTIF2	-
EPS15	-
MGST2	-
ATG16L1	-
POMGNT1	-
DNAJA1	-
DIMT1	-
IPO11	-
EIF2AK1	-
ITPKC	-
ZW10	-
MTMR2	-
PPP1R15A	-
FTL	-
PIGS	-
ATXN7L3	-
PSMC5	-
LPCAT2	-
GNAO1	-
OGFOD1	-
SH3BP2	-
L2HGDH	-
TXNDC16	-
C14ORF166	-
GMCL1	-
KLHDC5	-
PIR	-
SULT2B1	-
ALG6	-
PTPN4	-
EDEM2	-
DNMT3B	-
REM1	-
PDRG1	-
DOCK9	-
DOCK3	-
C3ORF18	-
KIF9	-
ARHGAP28	-
ATRN	-
SMOX	-
SLC4A11	-
EBF4	-
PLK1S1	-
MAPKAPK5	-
P2RX7	-
RBBP9	-
SLC23A2	-
C20ORF30	-
DZANK1	-
C20ORF26	-
LHX5	-
TASP1	-
PXN	-
TRMT6	-
FUS	-
ZNF302	-
AC002115.6	-
GRAMD1A	-
FXYD3	-
C16ORF5	-
KCNH4	-
GANAB	-
GMIP	-
OTUB2	-
DHX32	-
BLVRB	-
CCNK	-
PCBP4	-
RGS1	-
LYZ	-
MUL1	-
TFAP4	-
PDCD7	-
DNAJB11	-
THPO	-
FLT3LG	-
RAB11FIP3	-
ZNF268	-
PABPC4	-
MCOLN1	-
USP48	-
AARS	-
GLG1	-
EXOC1	-
OSBPL8	-
DTX2	-
NLRC4	-
PUS7	-
NRCAM	-
SLC26A4	-
DLD	-
TXNL1	-
SMPX	-
FH	-
MYO15A	-
ALKBH5	-
NLRP1	-
RGS17	-
TMEM101	-
CD200	-
PSME1	-
PPP2R3C	-
HAUS4	-
MYH7	-
SLC7A8	-
RNF31	-
SCFD1	-
HECTD1	-
TBL1Y	-
TRPM7	-
TYRO3	-
COL9A3	-
EZR	-
MYL6	-
