"","Batch","Treatment","wellID","Image_ID","ind_type","Measurement"
"531","2","RAPA","6","4","MKO2",451.435990367187
"532","2","RAPA","6","6","MKO2",261.822448744163
"533","2","RAPA","6","7","MKO2",225.654884926774
"534","2","RAPA","6","8","MKO2",822.964710550941
"535","2","RAPA","6","9b","MKO2",133.404464277867
"497","2","RAPA","6","14","GFP",264.192639586492
"498","2","RAPA","6","15","GFP",505.207281505339
"499","2","RAPA","6","18","GFP",591.15673495769
"500","2","RAPA","6","24","GFP",655.852124679132
"501","2","RAPA","6","26","GFP",576.932962588364
"502","2","RAPA","6","6","GFP",374.776111721189
"503","2","RAPA","6","7","GFP",690.043472311187
"505","2","RAPA","6","1","GFP",679.818071660765
"506","2","RAPA","6","10b","GFP",324.794063307548
"507","2","RAPA","6","11","GFP",199.155557456654
"508","2","RAPA","6","17","GFP",474.881742178188
"509","2","RAPA","6","19","GFP",324.326150385514
"510","2","RAPA","6","2","GFP",261.30225357353
"511","2","RAPA","6","20","GFP",293.397507406974
"512","2","RAPA","6","21","GFP",448.404070724509
"513","2","RAPA","6","22","GFP",249.820990687086
"514","2","RAPA","6","24a","GFP",303.333497897599
"515","2","RAPA","6","24b","GFP",297.469817390919
"516","2","RAPA","6","25","GFP",299.58756720597
"517","2","RAPA","6","3a","GFP",219.249353233021
"518","2","RAPA","6","3b","GFP",279.583022810721
"519","2","RAPA","6","4","GFP",335.398125498884
"520","2","RAPA","6","5","GFP",167.275775517967
"521","2","RAPA","6","9","GFP",626.551662577168
"536","2","RAPA","7","6","MKO2",634.680969428979
"540","2","RAPA","7","1","MKO2",289.882361726182
"541","2","RAPA","7","2","MKO2",468.497866500876
"542","2","RAPA","7","4","MKO2",410.780485892419
"543","2","RAPA","7","5b","MKO2",161.895321049401
"537","2","RAPA","7","1","GFP",110.962133675613
"538","2","RAPA","7","2","GFP",182.346122350243
"539","2","RAPA","7","3","GFP",499.731232755291
"550","2","RAPA","8","11","MKO2",706.303399672484
"551","2","RAPA","8","13","MKO2",749.102795086604
"552","2","RAPA","8","15","MKO2",507.571129447305
"553","2","RAPA","8","16","MKO2",554.308957773691
"554","2","RAPA","8","23","MKO2",464.396243942451
"555","2","RAPA","8","24","MKO2",920.91113695251
"556","2","RAPA","8","26","MKO2",636.895627183188
"557","2","RAPA","8","27","MKO2",306.424042689238
"558","2","RAPA","8","28","MKO2",268.250950112035
"559","2","RAPA","8","3","MKO2",416.030234739489
"560","2","RAPA","8","7","MKO2",315.141140076359
"544","2","RAPA","8","17","GFP",562.539657672518
"545","2","RAPA","8","24","GFP",386.866821159384
"546","2","RAPA","8","25","GFP",290.670311040171
"547","2","RAPA","8","26","GFP",394.312743194403
"548","2","RAPA","8","29","GFP",570.521087994248
"549","2","RAPA","8","3","GFP",304.841801160898
"667","2","DHPG","5","10","MKO2",184.623890361272
"668","2","DHPG","5","11","MKO2",289.730000088244
