"","Batch","Treatment","wellID","Image_ID","ind_type","Measurement","Normalized"
"272","1","IGF1","6","16","R841X-Correction",132.921238239754,0.46800573726286
"273","1","IGF1","6","19","R841X-Correction",269.409904408899,0.9485721214196
"293","1","IGF1","7","10","R841X-Mutant",515.180241128482,1.81391109325735
"294","1","IGF1","7","13","R841X-Mutant",906.023777990332,3.1900419512435
"295","1","IGF1","7","14","R841X-Mutant",1129.31481497514,3.97623299017869
"296","1","IGF1","7","17","R841X-Mutant",498.579935016466,1.75546265714867
"297","1","IGF1","7","18","R841X-Mutant",280.534161770869,0.987739799490729
"298","1","IGF1","7","21","R841X-Mutant",1112.03746694669,3.91540074012534
"299","1","IGF1","7","22","R841X-Mutant",1244.74323329169,4.38264781696418
"300","1","IGF1","7","23","R841X-Mutant",420.701163266964,1.48125732719222
"301","1","IGF1","7","24","R841X-Mutant",729.489053898169,2.56847639260625
"302","1","IGF1","7","7","R841X-Mutant",1204.54667152324,4.24111872970167
"303","1","IGF1","7","8","R841X-Mutant",395.405415784268,1.39219289244101
"304","1","IGF1","7","9","R841X-Mutant",679.313189606212,2.3918109276156
"279","1","IGF1","7","11","R841X-Correction",938.824072657006,3.30552933528538
"280","1","IGF1","7","14","R841X-Correction",848.097268387479,2.98608704386558
"281","1","IGF1","7","15","R841X-Correction",277.717714022947,0.977823297642086
"282","1","IGF1","7","16","R841X-Correction",604.287834737151,2.12765226505808
"283","1","IGF1","7","17","R841X-Correction",366.883932780576,1.29177088420711
"284","1","IGF1","7","20","R841X-Correction",628.238468602705,2.21198065537855
"285","1","IGF1","7","22","R841X-Correction",713.615444635826,2.51258660174795
"286","1","IGF1","7","23","R841X-Correction",744.713620160885,2.62208095161162
"287","1","IGF1","7","4","R841X-Correction",391.243854419205,1.37754034616163
"288","1","IGF1","7","5","R841X-Correction",794.510822911926,2.79741317764078
"289","1","IGF1","7","6","R841X-Correction",570.899749535164,2.01009531450842
"290","1","IGF1","7","7","R841X-Correction",1187.50907872135,4.18113063986722
"291","1","IGF1","7","8","R841X-Correction",246.247219857334,0.867018041694663
"292","1","IGF1","7","9","R841X-Correction",576.621896412126,2.03024256564257
"408","1","RAPA","1","3","R841X-Mutant",697.467738329764,2.45573173570133
"433","1","RAPA","1","1","R841X-Mutant",667.905864984807,2.35164659089758
"434","1","RAPA","1","2","R841X-Mutant",221.54560581031,0.78004550632896
"435","1","RAPA","1","4","R841X-Mutant",1423.55889684506,5.01224439282886
"436","1","RAPA","1","5a","R841X-Mutant",431.34219459082,1.51872360252872
"437","1","RAPA","1","6","R841X-Mutant",687.49477870662,2.42061769085092
"438","1","RAPA","1","7","R841X-Mutant",483.977501106224,1.70404857962053
"409","1","RAPA","1","1","R841X-Correction",294.311677234601,1.03624940087305
"410","1","RAPA","1","10","R841X-Correction",391.822674738798,1.37957832921085
"411","1","RAPA","1","11","R841X-Correction",215.481766524952,0.758695181783618
"412","1","RAPA","1","14","R841X-Correction",594.791758251759,2.09421729006459
"413","1","RAPA","1","15","R841X-Correction",630.356218417757,2.21943709406853
"414","1","RAPA","1","16","R841X-Correction",288.106304319526,1.01440074700426
"415","1","RAPA","1","17","R841X-Correction",216.432905485099,0.762044070916595
"416","1","RAPA","1","18a","R841X-Correction",406.640580543797,1.43175106716302
"417","1","RAPA","1","18b","R841X-Correction",178.757038404411,0.629390161100388
"418","1","RAPA","1","19","R841X-Correction",720.682705129929,2.53746989731285
"419","1","RAPA","1","20","R841X-Correction",480.246883530675,1.6909133541892
"420","1","RAPA","1","23","R841X-Correction",335.539659128601,1.18141004124685
"421","1","RAPA","1","24","R841X-Correction",279.352237799885,0.983578333597437
"422","1","RAPA","1","27","R841X-Correction",266.147199755385,0.937084382386621
"423","1","RAPA","1","2a","R841X-Correction",179.046448564208,0.630409152624999
"424","1","RAPA","1","2b","R841X-Correction",267.046056466933,0.940249189633021
"425","1","RAPA","1","3","R841X-Correction",506.709241868276,1.78408533849742
"426","1","RAPA","1","4","R841X-Correction",115.034443659557,0.405027671487734
"427","1","RAPA","1","5a","R841X-Correction",384.807696493294,1.35487911553253
"428","1","RAPA","1","5b","R841X-Correction",838.028714482854,2.95063641870059
"429","1","RAPA","1","6","R841X-Correction",228.419050426097,0.804246390683833
"430","1","RAPA","1","7","R841X-Correction",195.246437118868,0.687448100558197
"431","1","RAPA","1","8","R841X-Correction",159.131155550078,0.560288895596757
"432","1","RAPA","1","9","R841X-Correction",585.108208788411,2.06012223673879
"439","1","RAPA","2","10","R841X-Mutant",688.609107312925,2.42454115852135
"456","1","RAPA","2","2","R841X-Mutant",197.668910209795,0.695977447109076
"457","1","RAPA","2","3","R841X-Mutant",575.329065043583,2.02569060309841
"458","1","RAPA","2","6","R841X-Mutant",378.165036888342,1.33149080793797
"459","1","RAPA","2","8","R841X-Mutant",592.55413082343,2.08633877126517
"460","1","RAPA","2","9","R841X-Mutant",179.277233575044,0.631221729385311
"440","1","RAPA","2","10","R841X-Correction",738.591155726567,2.60052421230198
"441","1","RAPA","2","11","R841X-Correction",475.728316641138,1.67500381816235
"442","1","RAPA","2","12","R841X-Correction",572.832653687617,2.01690092544695
"443","1","RAPA","2","15","R841X-Correction",732.832039717085,2.58024679561753
"444","1","RAPA","2","16","R841X-Correction",486.667728340508,1.71352066848202
"445","1","RAPA","2","18","R841X-Correction",298.205484456309,1.04995920484183
"446","1","RAPA","2","1a","R841X-Correction",44.1336810230405,0.155391389659313
"447","1","RAPA","2","1b","R841X-Correction",132.616514963879,0.466932829401968
"448","1","RAPA","2","2","R841X-Correction",263.293782874943,0.927037714987685
"449","1","RAPA","2","3","R841X-Correction",947.867549336444,3.33737074021681
"450","1","RAPA","2","4","R841X-Correction",371.223996907877,1.30705192536023
"451","1","RAPA","2","5","R841X-Correction",445.29821281679,1.56786169878477
"452","1","RAPA","2","6a","R841X-Correction",116.684280552575,0.410836623779374
"453","1","RAPA","2","6b","R841X-Correction",400.739930904597,1.41097532115512
"454","1","RAPA","2","7","R841X-Correction",442.875739725863,1.55933235223389
"455","1","RAPA","2","8","R841X-Correction",202.135194850734,0.711702901249356
"470","1","RAPA","3","2","R841X-Mutant",218.996912205744,0.77107174679092
"471","1","RAPA","3","4","R841X-Mutant",117.509198999083,0.41374109992519
"472","1","RAPA","3","5","R841X-Mutant",1137.62262458919,4.00548416640118
"461","1","RAPA","3","11","R841X-Correction",325.477448124339,1.14598174895958
"462","1","RAPA","3","13","R841X-Correction",456.548690692398,1.60747378984306
"463","1","RAPA","3","14","R841X-Correction",530.823065379989,1.86898830735534
"464","1","RAPA","3","4","R841X-Correction",452.781103984329,1.59420839886144
"465","1","RAPA","3","6","R841X-Correction",789.078086194761,2.77828491803124
"466","1","RAPA","3","7","R841X-Correction",350.973354385713,1.23575092779853
"467","1","RAPA","3","9","R841X-Correction",453.889089690273,1.59810953365415
"468","1","RAPA","3","2","R841X-Correction",510.692300471102,1.79810938990307
"469","1","RAPA","3","5","R841X-Correction",151.506730752822,0.533443866196648
"476","1","RAPA","4","1","R841X-Mutant",326.443900200565,1.14938455442884
"477","1","RAPA","4","2","R841X-Mutant",351.93980646194,1.23915373326779
"478","1","RAPA","4","3","R841X-Mutant",156.530179696913,0.55113105417214
"479","1","RAPA","4","5","R841X-Mutant",312.161502682279,1.09909730109788
"473","1","RAPA","4","1","R841X-Correction",1043.75299327942,3.67497621605783
"474","1","RAPA","4","3","R841X-Correction",327.53657279043,1.15323177288526
"475","1","RAPA","4","5","R841X-Correction",623.051830012455,2.1937188888656
"488","1","RAPA","5","1","R841X-Mutant",716.639707720464,2.52323480585248
"489","1","RAPA","5","10","R841X-Mutant",441.128994893687,1.55318219433724
"490","1","RAPA","5","11","R841X-Mutant",580.601783564768,2.04425545060935
"491","1","RAPA","5","2","R841X-Mutant",585.071239655892,2.0599920711885
"492","1","RAPA","5","4","R841X-Mutant",500.887015601975,1.76358571531939
"493","1","RAPA","5","5","R841X-Mutant",696.713586698113,2.45307642421723
"494","1","RAPA","5","6","R841X-Mutant",523.38797135319,1.84280989743597
"495","1","RAPA","5","8","R841X-Mutant",551.013769095515,1.94007826486233
"496","1","RAPA","5","3","R841X-Mutant",1056.7903565699,3.7208797970019
"480","1","RAPA","5","12","R841X-Correction",776.90392414098,2.73542060407368
"481","1","RAPA","5","13","R841X-Correction",405.299952054,1.42703081453016
