"","Batch","Treatment","wellID","Image_ID","ind_type","Measurement","Normalized"
"19","1","DMSO-(WT)","4","6","R841X-Correction",250.969114378446,0.681100139823599
"20","1","DMSO-(WT)","4","7","R841X-Correction",314.799445311239,0.854328018604551
"72","1","DMSO-(WT)","4","10","R841X-Correction",426.281776514209,1.15687772301043
"73","1","DMSO-(WT)","4","12","R841X-Correction",873.582337002203,2.37079791014606
"74","1","DMSO-(WT)","4","13","R841X-Correction",491.854366930758,1.3348338855124
"75","1","DMSO-(WT)","4","15","R841X-Correction",438.974275946116,1.19132364739914
"76","1","DMSO-(WT)","4","9","R841X-Correction",625.537413360202,1.69763367400685
"23","1","DMSO-(WT)","5","3","R841X-Correction",363.242566586146,0.985796851953012
"24","1","DMSO-(WT)","5","7a","R841X-Correction",237.834843155809,0.645455299667176
"25","1","DMSO-(WT)","5","7b","R841X-Correction",151.372852053956,0.410807803800025
"82","1","DMSO-(WT)","5","1","R841X-Correction",253.065208104075,0.686788687329317
"83","1","DMSO-(WT)","5","2","R841X-Correction",359.511949010597,0.975672402342439
"84","1","DMSO-(WT)","5","5","R841X-Correction",299.806210550909,0.813638173892145
"85","1","DMSO-(WT)","5","8","R841X-Correction",91.1469200508219,0.247361832330859
"29","1","DMSO-(WT)","6","1","R841X-Correction",693.903467624382,1.88317096306269
"30","1","DMSO-(WT)","6","3","R841X-Correction",323.04414040225,0.876703134336215
"31","1","DMSO-(WT)","6","7","R841X-Correction",469.884424724985,1.27521009178253
"92","1","DMSO-(WT)","6","2","R841X-Correction",146.000055770617,0.396226677716487
"93","1","DMSO-(WT)","6","6","R841X-Correction",206.021343400761,0.559117268849699
"34","1","DMSO-(WT)","7","2","R841X-Correction",96.5643436519081,0.262064071613656
"99","1","DMSO-(WT)","7","4","R841X-Correction",380.07496746922,1.03147797340663
"100","1","DMSO-(WT)","7","8","R841X-Correction",143.391423359413,0.389147161560008
"101","1","DMSO-(WT)","7","9","R841X-Correction",251.638502334121,0.682916778621308
"35","1","DMSO-(WT)","8","14","R841X-Correction",181.554999714508,0.492718540277262
"107","1","DMSO-(WT)","8","10","R841X-Correction",412.273471937813,1.11886086093836
"108","1","DMSO-(WT)","8","11","R841X-Correction",230.336641462471,0.625106077674636
"109","1","DMSO-(WT)","8","13","R841X-Correction",415.837728092125,1.12853382556224
"110","1","DMSO-(WT)","8","2","R841X-Correction",35.0194375287441,0.0950385622407884
"111","1","DMSO-(WT)","8","6","R841X-Correction",228.17426595686,0.619237649350815
"116","2","DMSO-(WT)","9","10","R841X-Correction",355.665659570482,0.965234033135326
"117","2","DMSO-(WT)","9","11","R841X-Correction",176.536964793916,0.479100194073509
"118","2","DMSO-(WT)","9","2","R841X-Correction",364.827703582474,0.990098724047962
"119","2","DMSO-(WT)","9","3","R841X-Correction",125.599949076092,0.34086322968238
"120","2","DMSO-(WT)","9","4","R841X-Correction",177.876662612357,0.482735973614434
"121","2","DMSO-(WT)","9","5","R841X-Correction",242.824494425908,0.658996616040514
"122","2","DMSO-(WT)","9","8","R841X-Correction",193.786583852201,0.525913595720953
"123","2","DMSO-(WT)","9","9","R841X-Correction",299.450515833158,0.812672860998586
"142","2","DMSO-(WT)","9","12","R841X-Correction",470.811017919333,1.27772475481505
"143","2","DMSO-(WT)","9","13","R841X-Correction",548.628265137105,1.48891145040497
"144","2","DMSO-(WT)","9","14","R841X-Correction",226.242018633247,0.61399376137063
"145","2","DMSO-(WT)","9","7","R841X-Correction",412.859024021021,1.12044997921187
"129","2","DMSO-(WT)","10","13","R841X-Correction",417.169771490554,1.13214883192335
"130","2","DMSO-(WT)","10","15","R841X-Correction",450.907205159681,1.22370818912251
"131","2","DMSO-(WT)","10","16","R841X-Correction",433.333715008173,1.17601584008974
"132","2","DMSO-(WT)","10","17","R841X-Correction",667.627003915933,1.81185978538962
"133","2","DMSO-(WT)","10","2","R841X-Correction",160.05997838345,0.434383624961674
"134","2","DMSO-(WT)","10","4","R841X-Correction",445.628411252005,1.20938217423608
"135","2","DMSO-(WT)","10","5","R841X-Correction",1425.94412873606,3.86984170489697
"149","2","DMSO-(WT)","10","1","R841X-Correction",201.182468098886,0.545985140408882
"150","2","DMSO-(WT)","10","10","R841X-Correction",859.377715666405,2.33224826788465
"151","2","DMSO-(WT)","10","3","R841X-Correction",153.098869872245,0.415492009584812
"152","2","DMSO-(WT)","10","6","R841X-Correction",92.7036763438475,0.251586682593717
"153","2","DMSO-(WT)","10","9","R841X-Correction",464.52246445609,1.26065837334532
"137","2","DMSO-(WT)","11","11","R841X-Correction",272.073984940915,0.738376232647441
"138","2","DMSO-(WT)","11","5","R841X-Correction",320.865522928976,0.870790627256032
"139","2","DMSO-(WT)","11","7","R841X-Correction",342.864767624795,0.930493944436895
"140","2","DMSO-(WT)","11","8","R841X-Correction",114.419580757904,0.310521048160735
"158","2","DMSO-(WT)","11","1","R841X-Correction",392.595038869295,1.06545594875356
"159","2","DMSO-(WT)","11","10","R841X-Correction",544.96365135679,1.47896612719516
"160","2","DMSO-(WT)","11","2","R841X-Correction",276.991289240687,0.751721208001976
"161","2","DMSO-(WT)","11","3","R841X-Correction",464.602473554077,1.26087550846157
"162","2","DMSO-(WT)","11","4","R841X-Correction",121.932443674553,0.33091005895865
"163","2","DMSO-(WT)","11","6","R841X-Correction",232.91305947454,0.632098167807362
"164","2","DMSO-(WT)","11","9","R841X-Correction",851.941027152219,2.31206598529828
"169","2","DMSO-(WT)","12","10","R841X-Correction",227.897267186144,0.618485907838986
"170","2","DMSO-(WT)","12","13","R841X-Correction",290.131631303278,0.787382523691463
"171","2","DMSO-(WT)","12","14","R841X-Correction",298.549419418634,0.810227393174999
"172","2","DMSO-(WT)","12","15","R841X-Correction",302.367042413729,0.820587965081198
