"NAME"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ASB13"	398.102848787555	-0.357749352293796	0.244336801634162	-1.46367076674942	0.143283926608637	0.330364657160242
"ASB14"	91.5676740399859	-0.589430906443941	0.304601785940871	-1.92945651405364	0.0536742136250883	0.173914115260669
"ASB15"	2.04775119556162	0.609215750794764	0.499637219061624	1.20111844849917	0.229705257695116	NA
"ASB16"	122.947471326386	0.216911833999643	0.279451356200224	0.777428094888557	0.436906242192633	0.654223415320688
"ASB18"	6.72936278271994	0.460718413611835	0.501931898309511	0.891840466352429	0.372478448322977	0.595890269145385
"ASB2"	2.9444165487056	0.0705603484308163	0.507745133807631	0.135707479674762	0.892052534502925	NA
"ASB3"	69.8720132021421	-0.0659544659209897	0.227056902052066	-0.290492433393858	0.771439538619025	0.886699131312916
"ASB4"	24.0899563618084	-0.678033082650981	0.503919070098914	-1.57141976292588	0.116085178414284	0.288220262694065
"ASB5"	35.6059813466273	-0.399353055971935	0.493335031699094	-0.829505059002581	0.406818675308489	0.627196941451947
"ASB6"	1172.94893095055	0.123876754912787	0.134638267761988	0.920086556920342	0.357527528754601	0.580055362469303
"ASB7"	698.19981237243	0.0292399444567585	0.120063732612408	0.243602148886192	0.807538963857318	0.906692337272948
"ASB8"	1416.72220381408	0.126326181153945	0.173793792440994	0.726904933133612	0.467284194976737	0.680306964867769
"ASB9"	1.34926027814787	0.192761151199117	0.432405153823589	0.529900103240899	0.59618119458691	NA
"ASCC1"	1153.21988650058	0.158040662699975	0.101718934019203	1.55367224903845	0.120262615824186	0.295259542617184
"ASCC2"	1521.52485678309	-0.0820358593812293	0.0752788502558719	-1.08977993447535	0.275810094891739	0.499232032330898
"ASCC3"	2631.69195108612	0.0969085188362968	0.262119630065149	0.369465303625385	0.711780930263276	0.852350398722952
"ASCL1"	2371.65549962789	-1.27713142926478	0.426967782729533	-2.91866196208685	0.00351537204835842	0.0253651309803647
"ASCL2"	1.43546367007544	-0.0436627820866796	0.432594027400774	-0.102300870014138	0.918517864761021	NA
"ASCL3"	1.54188191651974	0.138145592094898	0.482470956219844	0.391137525104878	0.69569558461799	NA
"ASCL5"	10.4076260136173	0.143149913350984	0.45679034558229	0.315708194574539	0.752224006223712	0.876312726318293
"ASF1A"	1492.27423676285	0.267775687690391	0.130948404850221	2.04488970037707	0.0408657335711976	0.144632734815783
"ASF1B"	246.830974348548	-0.798459058834284	0.395818312744508	-2.01117078723295	0.0443074202631161	0.15295137797019
"ASGR1"	427.133688502015	0.321685803115213	0.282333223954481	1.13906712840804	0.254675156640791	0.475261591949669
"ASGR2"	0.790511832541808	0.00466369868256776	0.417885331047869	-0.0505888579880742	0.959653141495173	NA
