"exp_ID" "Lawn" "individual" "lineID" "ind_type" "SHANK2_gtype" "ind_desc" "Color" "Family" "wellID" "sEPSC_Ampl" "sEPSC_Freq" "Setup" "growth_condition" "Line" "FamilyType" "ind_desc_paper" "line_desc_paper" "comparison_var" "comparison_label"
"4" "CTRL1" "SK0441-003" "13" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 6 0.887206168603151 1.75672987434488 "EXP" "AA" "SK0441-003 #13" "SHANK2 R841X MUT" "R841X" "R841X #13" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "13" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 6 0.817621371065649 1.40164617783011 "EXP" "AA" "SK0441-003 #13" "SHANK2 R841X MUT" "R841X" "R841X #13" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "13" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 6 0.861181454324125 2.69116066143382 "EXP" "AA" "SK0441-003 #13" "SHANK2 R841X MUT" "R841X" "R841X #13" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "13" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 6 1.09596056121566 8.2603681394766 "EXP" "AA" "SK0441-003 #13" "SHANK2 R841X MUT" "R841X" "R841X #13" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 7 1.37057726882927 0.730370929406694 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 7 0.981755040564471 4.74741104114351 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 7 1.50900557298102 11.5337742617357 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 7 0.69846726199953 0.0912963661758368 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 7 0.705109290302318 0.27388909852751 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0441-003" "2" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 7 0.836790137130606 10.1338966455179 "EXP" "AA" "SK0441-003 #2" "SHANK2 R841X MUT" "R841X" "R841X #2" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "2" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 7 1.39039792471695 10.4077857440454 "EXP" "AA" "SK0441-003 #2" "SHANK2 R841X MUT" "R841X" "R841X #2" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "2" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 7 0.817074910263601 1.91722368969257 "EXP" "AA" "SK0441-003 #2" "SHANK2 R841X MUT" "R841X" "R841X #2" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "2" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 7 0.711645889584426 2.43456976316737 "EXP" "AA" "SK0441-003 #2" "SHANK2 R841X MUT" "R841X" "R841X #2" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "2" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 7 1.04111157920685 4.9908680160908 "EXP" "AA" "SK0441-003 #2" "SHANK2 R841X MUT" "R841X" "R841X #2" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 8 0.74727147805215 0.409693233527782 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 8 0.696046750850771 0.111734518742734 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 8 1.88288968658066 15.0841600302691 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 8 1.20149531765248 6.48060208707856 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 8 0.849838151510288 0.223469037485467 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0441-003" "5" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 8 1.12823340803952 1.82499714132689 "EXP" "AA" "SK0441-003 #5" "SHANK2 R841X MUT" "R841X" "R841X #5" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "5" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 8 1.51658013851588 7.22549887683454 "EXP" "AA" "SK0441-003 #5" "SHANK2 R841X MUT" "R841X" "R841X #5" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "5" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 8 1.50919533802689 52.3289996130425 "EXP" "AA" "SK0441-003 #5" "SHANK2 R841X MUT" "R841X" "R841X #5" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "5" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 8 0.886527715844457 0.558672593713669 "EXP" "AA" "SK0441-003 #5" "SHANK2 R841X MUT" "R841X" "R841X #5" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "5" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 8 1.38470870121256 14.1902838803272 "EXP" "AA" "SK0441-003 #5" "SHANK2 R841X MUT" "R841X" "R841X #5" "SHANK2 R841X" "SHANK2 R841X"
