"exp_ID" "wellID" "Lawn" "individual" "lineID" "ind_type" "SHANK2_gtype" "ind_desc" "Color" "Family" "imagebatchID" "imageID" "Syn_Number" "Dend_Length" "Setup" "Line" "FamilyType" "ind_desc_paper" "line_desc_paper" "comparison_var" "comparison_label" "growth_condition"
"1" 3 "CTRL1" "SK0441-003" "5" "MUT" "HET" "SHANK2 R841X" "mKO2" "SHANK2 R841X" 1 "4" 1.11679846770513 0.843506481841398 "EXP" "SK0441-003 #5" "SHANK2 R841X MUT" "R841X" "R841X #5" "SHANK2 R841X" "SHANK2 R841X" "AA"
"1" 3 "CTRL1" "SK0441-003" "5" "MUT" "HET" "SHANK2 R841X" "mKO2" "SHANK2 R841X" 1 "5" 3.62959502004168 0.931994484228301 "EXP" "SK0441-003 #5" "SHANK2 R841X MUT" "R841X" "R841X #5" "SHANK2 R841X" "SHANK2 R841X" "AA"
"1" 3 "CTRL1" "SK0441-003" "5" "MUT" "HET" "SHANK2 R841X" "mKO2" "SHANK2 R841X" 1 "6" 2.04746385745941 1.18057697985582 "EXP" "SK0441-003 #5" "SHANK2 R841X MUT" "R841X" "R841X #5" "SHANK2 R841X" "SHANK2 R841X" "AA"
"1" 3 "CTRL1" "SK0441-003" "5" "MUT" "HET" "SHANK2 R841X" "mKO2" "SHANK2 R841X" 1 "7" 4.56026040979596 1.84643289178789 "EXP" "SK0441-003 #5" "SHANK2 R841X MUT" "R841X" "R841X #5" "SHANK2 R841X" "SHANK2 R841X" "AA"
"1" 4 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "GFP" "SHANK2 R841X" 1 "1" 2.15340430879613 2.13523754026263 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 4 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "GFP" "SHANK2 R841X" 1 "4" 0.717801436265378 0.529982655772073 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 4 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "GFP" "SHANK2 R841X" 1 "5" 0.512715311618127 0.70784572571643 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 4 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "GFP" "SHANK2 R841X" 1 "6" 1.02543062323625 1.37794687528979 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 4 "CTRL1" "SK0441-001" "39" "CTRL" "WT" "CTRL3" "GFP" "SHANK2 R841X" 1 "7" 1.23051674788351 0.905985106438268 "EXP" "SK0441-001 #39" "SHANK2 R841X CTRL" "CTRL3" "CTRL3 #39" "SHANK2 R841X" "CTRL" "AA"
"1" 4 "CTRL1" "SK0441-003" "13" "MUT" "HET" "SHANK2 R841X" "mKO2" "SHANK2 R841X" 1 "1" 4.10172249294502 2.75177550674289 "EXP" "SK0441-003 #13" "SHANK2 R841X MUT" "R841X" "R841X #13" "SHANK2 R841X" "SHANK2 R841X" "AA"
